Order_ID,Order_Date,Customer_ID,Food_Category,Food_Item,Quantity,Unit_Price,Discount_Percent,Payment_Method,Order_Type,Rating
O00001,2025-05-03,C0258,Dessert,Gulab Jamun,2,99,5,Credit Card,Dine-In,2
O00002,2026-04-22,C0444,Beverage,Mango Shake,7,139,0,UPI,Delivery,3
O00003,2025-10-26,C0289,Pizza,Pepperoni Pizza,1,449,0,Credit Card,Delivery,2
O00004,2025-07-20,C0376,Biryani,Chicken Biryani,8,309,20,Debit Card,Delivery,2
O00005,2025-12-21,C0326,Burger,Veg Burger,1,149,0,Credit Card,Delivery,3
O00006,2026-06-27,C0122,Pizza,Pepperoni Pizza,5,449,0,UPI,Delivery,2
O00007,2026-06-17,C0212,Dessert,Gulab Jamun,1,89,15,Credit Card,Takeaway,1
O00008,2026-02-08,C0039,Chinese,Veg Fried Rice,3,209,5,UPI,Dine-In,2
O00009,2026-02-07,C0359,Burger,Chicken Burger,6,199,15,Credit Card,Takeaway,4
O00010,2026-08-22,C0056,Pasta,Alfredo Pasta,4,269,0,UPI,Dine-In,4
O00011,2025-08-01,C0232,Pasta,Arrabbiata Pasta,6,239,20,UPI,Dine-In,1
O00012,2025-02-11,C0111,Pizza,Margherita Pizza,5,319,10,Credit Card,Takeaway,1
O00013,2025-11-03,C0134,Dessert,Chocolate Brownie,7,149,5,Credit Card,Dine-In,4
O00014,2025-04-15,C0412,Beverage,Fresh Lime Soda,4,99,0,Credit Card,Dine-In,1
O00015,2026-01-17,C0352,Beverage,Cold Coffee,4,129,10,Credit Card,Delivery,5
O00016,2025-07-22,C0463,Chinese,Chicken Noodles,1,239,20,Credit Card,Delivery,1
O00017,2025-02-21,C0087,Beverage,Fresh Lime Soda,1,79,15,Debit Card,Takeaway,4
O00018,2025-08-08,C0466,Biryani,Veg Biryani,7,229,0,UPI,Dine-In,2
O00019,2026-05-26,C0211,Pizza,Pepperoni Pizza,4,459,5,Debit Card,Takeaway,1
O00020,2026-06-23,C0128,Pasta,Arrabbiata Pasta,7,249,0,Credit Card,Delivery,1
O00021,2026-05-12,C0177,Biryani,Paneer Biryani,8,269,5,Debit Card,Takeaway,4
O00022,2025-01-31,C0459,Pasta,Alfredo Pasta,6,269,5,Credit Card,Dine-In,4
O00023,2025-04-13,C0127,Chinese,Chicken Noodles,4,259,20,Credit Card,Dine-In,1
O00024,2025-06-27,C0091,Beverage,Cold Coffee,7,139,0,UPI,Takeaway,3
O00025,2026-08-01,C0073,Chinese,Veg Fried Rice,6,219,15,UPI,Dine-In,4
O00026,2025-02-27,C0120,Chinese,Chicken Noodles,8,249,0,Credit Card,Dine-In,4
O00027,2025-12-15,C0368,Pizza,Farmhouse Pizza,4,409,10,UPI,Delivery,3
O00028,2026-06-23,C0441,Pizza,Margherita Pizza,3,299,10,UPI,Dine-In,4
O00029,2025-06-11,C0375,Chinese,Veg Fried Rice,5,199,0,Debit Card,Delivery,4
O00030,2025-06-29,C0194,Dessert,Gulab Jamun,6,99,0,UPI,Delivery,2
O00031,2026-08-05,C0017,Burger,Cheese Burger,7,169,15,UPI,Takeaway,5
O00032,2025-05-25,C0170,Burger,Cheese Burger,2,189,15,Credit Card,Dine-In,3
